Subject,Filename,Onset,Apex,Offset,AU,Objective class,emotion,label_for_7,label_for_3,imagename_apex,imagename_onset,imagename_apex_offset
spNO.144,g,1659,1665,1680,14,VII,sad,3,0,spNO.144/g/color/1665.jpg,spNO.144/g/color/1659.jpg,spNO.144/g/color/1680.jpg
spNO.144,g,1824,1832,1882,14,VII,anger,6,0,spNO.144/g/color/1832.jpg,spNO.144/g/color/1824.jpg,spNO.144/g/color/1882.jpg
spNO.144,h,553,560,601,4,III,disgust,4,0,spNO.144/h/color/560.jpg,spNO.144/h/color/553.jpg,spNO.144/h/color/601.jpg
spNO.144,k,2150,2155,2174,4,III,happy,1,1,spNO.144/k/color/2155.jpg,spNO.144/k/color/2150.jpg,spNO.144/k/color/2174.jpg
spNO.144,l,1293,1299,1325,14,VII,sad,3,0,spNO.144/l/color/1299.jpg,spNO.144/l/color/1293.jpg,spNO.144/l/color/1325.jpg
spNO.144,m,928,935,943,R14,VII,anger,6,0,spNO.144/m/color/935.jpg,spNO.144/m/color/928.jpg,spNO.144/m/color/943.jpg
spNO.145,g,150,156,158,5,II,surprise,2,2,spNO.145/g/color/156.jpg,spNO.145/g/color/150.jpg,spNO.145/g/color/158.jpg
spNO.145,j,1304,1311,1325,L14,VII,happy,1,1,spNO.145/j/color/1311.jpg,spNO.145/j/color/1304.jpg,spNO.145/j/color/1325.jpg
spNO.146,a,530,536,561,24,VII,disgust,4,0,spNO.146/a/color/536.jpg,spNO.146/a/color/530.jpg,spNO.146/a/color/561.jpg
spNO.146,d,1607,1615,1638,L12,I,fear,5,0,spNO.146/d/color/1615.jpg,spNO.146/d/color/1607.jpg,spNO.146/d/color/1638.jpg
spNO.147,d,1146,1150,1163,5,II,surprise,2,2,spNO.147/d/color/1150.jpg,spNO.147/d/color/1146.jpg,spNO.147/d/color/1163.jpg
spNO.147,f,1473,1477,1504,5,II,surprise,2,2,spNO.147/f/color/1477.jpg,spNO.147/f/color/1473.jpg,spNO.147/f/color/1504.jpg
spNO.147,m,1840,1845,1982,14,VII,anger,6,0,spNO.147/m/color/1845.jpg,spNO.147/m/color/1840.jpg,spNO.147/m/color/1982.jpg
spNO.148,a,403,411,435,4,III,disgust,4,0,spNO.148/a/color/411.jpg,spNO.148/a/color/403.jpg,spNO.148/a/color/435.jpg
spNO.148,a,925,933,977,4,III,disgust,4,0,spNO.148/a/color/933.jpg,spNO.148/a/color/925.jpg,spNO.148/a/color/977.jpg
spNO.148,b,204,213,218,4,III,disgust,4,0,spNO.148/b/color/213.jpg,spNO.148/b/color/204.jpg,spNO.148/b/color/218.jpg
spNO.148,b,287,290,295,4,III,disgust,4,0,spNO.148/b/color/290.jpg,spNO.148/b/color/287.jpg,spNO.148/b/color/295.jpg
spNO.148,b,336,342,348,4,III,disgust,4,0,spNO.148/b/color/342.jpg,spNO.148/b/color/336.jpg,spNO.148/b/color/348.jpg
spNO.148,b,560,568,585,4,III,disgust,4,0,spNO.148/b/color/568.jpg,spNO.148/b/color/560.jpg,spNO.148/b/color/585.jpg
spNO.148,b,811,815,820,4,III,disgust,4,0,spNO.148/b/color/815.jpg,spNO.148/b/color/811.jpg,spNO.148/b/color/820.jpg
spNO.148,c,161,166,174,4,III,disgust,4,0,spNO.148/c/color/166.jpg,spNO.148/c/color/161.jpg,spNO.148/c/color/174.jpg
spNO.148,c,629,637,662,4,III,disgust,4,0,spNO.148/c/color/637.jpg,spNO.148/c/color/629.jpg,spNO.148/c/color/662.jpg
spNO.148,c,801,806,845,4,III,disgust,4,0,spNO.148/c/color/806.jpg,spNO.148/c/color/801.jpg,spNO.148/c/color/845.jpg
spNO.148,c,1665,1672,1890,4,III,disgust,4,0,spNO.148/c/color/1672.jpg,spNO.148/c/color/1665.jpg,spNO.148/c/color/1890.jpg
spNO.148,c,2296,2301,2308,2+1,II,disgust,4,0,spNO.148/c/color/2301.jpg,spNO.148/c/color/2296.jpg,spNO.148/c/color/2308.jpg
spNO.148,c,2341,2347,2372,4,III,disgust,4,0,spNO.148/c/color/2347.jpg,spNO.148/c/color/2341.jpg,spNO.148/c/color/2372.jpg
spNO.148,d,1899,1902,1909,2+1,II,surprise,2,2,spNO.148/d/color/1902.jpg,spNO.148/d/color/1899.jpg,spNO.148/d/color/1909.jpg
spNO.148,d,2261,2266,2272,4,III,fear,5,0,spNO.148/d/color/2266.jpg,spNO.148/d/color/2261.jpg,spNO.148/d/color/2272.jpg
spNO.148,d,2657,2662,2665,4,III,fear,5,0,spNO.148/d/color/2662.jpg,spNO.148/d/color/2657.jpg,spNO.148/d/color/2665.jpg
spNO.148,d,2668,2674,2680,14,VII,fear,5,0,spNO.148/d/color/2674.jpg,spNO.148/d/color/2668.jpg,spNO.148/d/color/2680.jpg
spNO.148,d,4738,4741,4770,1,V,fear,5,0,spNO.148/d/color/4741.jpg,spNO.148/d/color/4738.jpg,spNO.148/d/color/4770.jpg
spNO.148,e,881,889,896,4,III,disgust,4,0,spNO.148/e/color/889.jpg,spNO.148/e/color/881.jpg,spNO.148/e/color/896.jpg
spNO.148,f,597,601,607,4,III,fear,5,0,spNO.148/f/color/601.jpg,spNO.148/f/color/597.jpg,spNO.148/f/color/607.jpg
spNO.148,f,798,802,807,1,V,surprise,2,2,spNO.148/f/color/802.jpg,spNO.148/f/color/798.jpg,spNO.148/f/color/807.jpg
spNO.148,f,1385,1391,1396,4,III,disgust,4,0,spNO.148/f/color/1391.jpg,spNO.148/f/color/1385.jpg,spNO.148/f/color/1396.jpg
spNO.148,f,1464,1468,1474,4,III,fear,5,0,spNO.148/f/color/1468.jpg,spNO.148/f/color/1464.jpg,spNO.148/f/color/1474.jpg
spNO.148,i,133,139,147,2+1,II,surprise,2,2,spNO.148/i/color/139.jpg,spNO.148/i/color/133.jpg,spNO.148/i/color/147.jpg
spNO.148,k,1998,2005,2058,4,III,surprise,2,2,spNO.148/k/color/2005.jpg,spNO.148/k/color/1998.jpg,spNO.148/k/color/2058.jpg
spNO.148,k,2590,2595,2599,4,III,disgust,4,0,spNO.148/k/color/2595.jpg,spNO.148/k/color/2590.jpg,spNO.148/k/color/2599.jpg
spNO.148,l,1349,1353,1364,4,III,disgust,4,0,spNO.148/l/color/1353.jpg,spNO.148/l/color/1349.jpg,spNO.148/l/color/1364.jpg
spNO.148,m,337,343,359,4,III,disgust,4,0,spNO.148/m/color/343.jpg,spNO.148/m/color/337.jpg,spNO.148/m/color/359.jpg
spNO.148,m,1598,1603,1614,1,V,anger,6,0,spNO.148/m/color/1603.jpg,spNO.148/m/color/1598.jpg,spNO.148/m/color/1614.jpg
spNO.149,d,112,83,358,T28+14,VII,fear,5,0,spNO.149/d/color/83.jpg,spNO.149/d/color/112.jpg,spNO.149/d/color/358.jpg
spNO.149,i,1826,1832,1833,24,VII,disgust,4,0,spNO.149/i/color/1832.jpg,spNO.149/i/color/1826.jpg,spNO.149/i/color/1833.jpg
spNO.149,i,1848,1852,1861,25,II,surprise,2,2,spNO.149/i/color/1852.jpg,spNO.149/i/color/1848.jpg,spNO.149/i/color/1861.jpg
spNO.15,j,135,140,181,12,I,happy,1,1,spNO.15/j/color/140.jpg,spNO.15/j/color/135.jpg,spNO.15/j/color/181.jpg
spNO.15,j,726,734,763,14,VII,happy,1,1,spNO.15/j/color/734.jpg,spNO.15/j/color/726.jpg,spNO.15/j/color/763.jpg
spNO.15,j,1157,1165,1173,14,VII,happy,1,1,spNO.15/j/color/1165.jpg,spNO.15/j/color/1157.jpg,spNO.15/j/color/1173.jpg
spNO.15,j,1564,1571,1573,12,I,happy,1,1,spNO.15/j/color/1571.jpg,spNO.15/j/color/1564.jpg,spNO.15/j/color/1573.jpg
spNO.15,l,1400,1403,1408,4,III,anger,6,0,spNO.15/l/color/1403.jpg,spNO.15/l/color/1400.jpg,spNO.15/l/color/1408.jpg
spNO.15,l,2979,2986,2992,4,III,anger,6,0,spNO.15/l/color/2986.jpg,spNO.15/l/color/2979.jpg,spNO.15/l/color/2992.jpg
spNO.150,a,355,361,373,10+4,VII,disgust,4,0,spNO.150/a/color/361.jpg,spNO.150/a/color/355.jpg,spNO.150/a/color/373.jpg
spNO.150,c,1985,1987,1995,1,V,disgust,4,0,spNO.150/c/color/1987.jpg,spNO.150/c/color/1985.jpg,spNO.150/c/color/1995.jpg
spNO.150,e,1040,1048,1062,1,V,surprise,2,2,spNO.150/e/color/1048.jpg,spNO.150/e/color/1040.jpg,spNO.150/e/color/1062.jpg
spNO.150,e,2277,2278,2282,4,III,disgust,4,0,spNO.150/e/color/2278.jpg,spNO.150/e/color/2277.jpg,spNO.150/e/color/2282.jpg
spNO.150,f,2035,2042,2049,L14,VII,fear,5,0,spNO.150/f/color/2042.jpg,spNO.150/f/color/2035.jpg,spNO.150/f/color/2049.jpg
spNO.150,f,2131,2137,2146,14,VII,fear,5,0,spNO.150/f/color/2137.jpg,spNO.150/f/color/2131.jpg,spNO.150/f/color/2146.jpg
spNO.150,g,734,737,765,2+1,II,surprise,2,2,spNO.150/g/color/737.jpg,spNO.150/g/color/734.jpg,spNO.150/g/color/765.jpg
spNO.150,g,1360,1366,1379,1,V,anger,6,0,spNO.150/g/color/1366.jpg,spNO.150/g/color/1360.jpg,spNO.150/g/color/1379.jpg
spNO.150,j,714,722,735,R2+R1,II,surprise,2,2,spNO.150/j/color/722.jpg,spNO.150/j/color/714.jpg,spNO.150/j/color/735.jpg
spNO.150,j,747,753,760,4,III,surprise,2,2,spNO.150/j/color/753.jpg,spNO.150/j/color/747.jpg,spNO.150/j/color/760.jpg
spNO.150,j,1728,1731,1743,4,III,surprise,2,2,spNO.150/j/color/1731.jpg,spNO.150/j/color/1728.jpg,spNO.150/j/color/1743.jpg
spNO.150,k,341,347,372,38,VII,happy,1,1,spNO.150/k/color/347.jpg,spNO.150/k/color/341.jpg,spNO.150/k/color/372.jpg
spNO.152,c,1536,1540,1547,4,III,disgust,4,0,spNO.152/c/color/1540.jpg,spNO.152/c/color/1536.jpg,spNO.152/c/color/1547.jpg
spNO.152,d,2556,2561,2565,4,III,fear,5,0,spNO.152/d/color/2561.jpg,spNO.152/d/color/2556.jpg,spNO.152/d/color/2565.jpg
spNO.152,f,1152,1156,1164,24,VII,surprise,2,2,spNO.152/f/color/1156.jpg,spNO.152/f/color/1152.jpg,spNO.152/f/color/1164.jpg
spNO.152,i,118,119,122,4,III,disgust,4,0,spNO.152/i/color/119.jpg,spNO.152/i/color/118.jpg,spNO.152/i/color/122.jpg
spNO.152,i,133,140,409,24+14+4,VII,anger,6,0,spNO.152/i/color/140.jpg,spNO.152/i/color/133.jpg,spNO.152/i/color/409.jpg
spNO.152,m,735,740,765,14,VII,anger,6,0,spNO.152/m/color/740.jpg,spNO.152/m/color/735.jpg,spNO.152/m/color/765.jpg
spNO.153,a,34,38,50,4,III,disgust,4,0,spNO.153/a/color/38.jpg,spNO.153/a/color/34.jpg,spNO.153/a/color/50.jpg
spNO.153,d,2152,2159,2191,R20,VI,fear,5,0,spNO.153/d/color/2159.jpg,spNO.153/d/color/2152.jpg,spNO.153/d/color/2191.jpg
spNO.153,d,3484,3491,3534,4,III,fear,5,0,spNO.153/d/color/3491.jpg,spNO.153/d/color/3484.jpg,spNO.153/d/color/3534.jpg
spNO.153,d,3654,3660,3687,R20,VI,fear,5,0,spNO.153/d/color/3660.jpg,spNO.153/d/color/3654.jpg,spNO.153/d/color/3687.jpg
spNO.153,d,4563,4570,4589,R20,VI,fear,5,0,spNO.153/d/color/4570.jpg,spNO.153/d/color/4563.jpg,spNO.153/d/color/4589.jpg
spNO.153,h,2019,2024,2032,5,II,surprise,2,2,spNO.153/h/color/2024.jpg,spNO.153/h/color/2019.jpg,spNO.153/h/color/2032.jpg
spNO.153,j,7,8,113,28+14,VII,happy,1,1,spNO.153/j/color/8.jpg,spNO.153/j/color/7.jpg,spNO.153/j/color/113.jpg
spNO.153,j,274,280,288,5,II,surprise,2,2,spNO.153/j/color/280.jpg,spNO.153/j/color/274.jpg,spNO.153/j/color/288.jpg
spNO.153,j,1123,1129,1140,4,III,surprise,2,2,spNO.153/j/color/1129.jpg,spNO.153/j/color/1123.jpg,spNO.153/j/color/1140.jpg
spNO.153,j,1573,1579,1586,5+2+1,VII,surprise,2,2,spNO.153/j/color/1579.jpg,spNO.153/j/color/1573.jpg,spNO.153/j/color/1586.jpg
spNO.153,m,422,430,445,4,III,disgust,4,0,spNO.153/m/color/430.jpg,spNO.153/m/color/422.jpg,spNO.153/m/color/445.jpg
spNO.154,h,259,267,352,14,VII,sad,3,0,spNO.154/h/color/267.jpg,spNO.154/h/color/259.jpg,spNO.154/h/color/352.jpg
spNO.154,i,1336,1342,1366,7+4,III,disgust,4,0,spNO.154/i/color/1342.jpg,spNO.154/i/color/1336.jpg,spNO.154/i/color/1366.jpg
spNO.155,h,1984,1992,2009,14,VII,sad,3,0,spNO.155/h/color/1992.jpg,spNO.155/h/color/1984.jpg,spNO.155/h/color/2009.jpg
spNO.156,a,34,38,46,4,III,disgust,4,0,spNO.156/a/color/38.jpg,spNO.156/a/color/34.jpg,spNO.156/a/color/46.jpg
spNO.156,b,38,43,50,24,VII,disgust,4,0,spNO.156/b/color/43.jpg,spNO.156/b/color/38.jpg,spNO.156/b/color/50.jpg
spNO.156,b,181,186,189,4,III,disgust,4,0,spNO.156/b/color/186.jpg,spNO.156/b/color/181.jpg,spNO.156/b/color/189.jpg
spNO.156,b,371,374,378,4,III,disgust,4,0,spNO.156/b/color/374.jpg,spNO.156/b/color/371.jpg,spNO.156/b/color/378.jpg
spNO.156,c,90,94,101,4,III,disgust,4,0,spNO.156/c/color/94.jpg,spNO.156/c/color/90.jpg,spNO.156/c/color/101.jpg
spNO.156,c,2183,2188,2193,4,III,disgust,4,0,spNO.156/c/color/2188.jpg,spNO.156/c/color/2183.jpg,spNO.156/c/color/2193.jpg
spNO.156,d,204,211,217,38+24+10+9,VII,fear,5,0,spNO.156/d/color/211.jpg,spNO.156/d/color/204.jpg,spNO.156/d/color/217.jpg
spNO.156,d,1117,1122,1132,2+1,II,fear,5,0,spNO.156/d/color/1122.jpg,spNO.156/d/color/1117.jpg,spNO.156/d/color/1132.jpg
spNO.156,d,4680,4687,4694,4,III,fear,5,0,spNO.156/d/color/4687.jpg,spNO.156/d/color/4680.jpg,spNO.156/d/color/4694.jpg
spNO.156,i,2132,2135,2176,4,III,disgust,4,0,spNO.156/i/color/2135.jpg,spNO.156/i/color/2132.jpg,spNO.156/i/color/2176.jpg
spNO.156,l,106,109,114,38,VII,anger,6,0,spNO.156/l/color/109.jpg,spNO.156/l/color/106.jpg,spNO.156/l/color/114.jpg
spNO.157,b,112,120,132,4,III,disgust,4,0,spNO.157/b/color/120.jpg,spNO.157/b/color/112.jpg,spNO.157/b/color/132.jpg
spNO.157,d,2506,2510,2515,4,III,fear,5,0,spNO.157/d/color/2510.jpg,spNO.157/d/color/2506.jpg,spNO.157/d/color/2515.jpg
spNO.157,g,7,14,171,14,VII,sad,3,0,spNO.157/g/color/14.jpg,spNO.157/g/color/7.jpg,spNO.157/g/color/171.jpg
spNO.157,h,5,10,42,14,VII,sad,3,0,spNO.157/h/color/10.jpg,spNO.157/h/color/5.jpg,spNO.157/h/color/42.jpg
spNO.157,j,1701,1709,1751,4,III,disgust,4,0,spNO.157/j/color/1709.jpg,spNO.157/j/color/1701.jpg,spNO.157/j/color/1751.jpg
spNO.157,l,2536,2542,2551,2+1,II,surprise,2,2,spNO.157/l/color/2542.jpg,spNO.157/l/color/2536.jpg,spNO.157/l/color/2551.jpg
spNO.158,h,288,296,304,4,III,sad,3,0,spNO.158/h/color/296.jpg,spNO.158/h/color/288.jpg,spNO.158/h/color/304.jpg
spNO.160,c,2054,2061,2070,4,III,disgust,4,0,spNO.160/c/color/2061.jpg,spNO.160/c/color/2054.jpg,spNO.160/c/color/2070.jpg
spNO.160,c,2283,2290,2298,4,III,surprise,2,2,spNO.160/c/color/2290.jpg,spNO.160/c/color/2283.jpg,spNO.160/c/color/2298.jpg
spNO.160,c,3216,3224,3258,4,III,fear,5,0,spNO.160/c/color/3224.jpg,spNO.160/c/color/3216.jpg,spNO.160/c/color/3258.jpg
spNO.160,d,542,545,550,17,VII,fear,5,0,spNO.160/d/color/545.jpg,spNO.160/d/color/542.jpg,spNO.160/d/color/550.jpg
spNO.160,d,974,979,988,4,III,fear,5,0,spNO.160/d/color/979.jpg,spNO.160/d/color/974.jpg,spNO.160/d/color/988.jpg
spNO.160,d,1199,1203,1208,2+1,II,fear,5,0,spNO.160/d/color/1203.jpg,spNO.160/d/color/1199.jpg,spNO.160/d/color/1208.jpg
spNO.160,d,1497,1501,1505,14,VII,fear,5,0,spNO.160/d/color/1501.jpg,spNO.160/d/color/1497.jpg,spNO.160/d/color/1505.jpg
spNO.160,d,2186,2194,2204,18,VII,fear,5,0,spNO.160/d/color/2194.jpg,spNO.160/d/color/2186.jpg,spNO.160/d/color/2204.jpg
spNO.160,d,2952,2958,3007,4,III,fear,5,0,spNO.160/d/color/2958.jpg,spNO.160/d/color/2952.jpg,spNO.160/d/color/3007.jpg
spNO.160,d,3034,3042,3049,24,VII,fear,5,0,spNO.160/d/color/3042.jpg,spNO.160/d/color/3034.jpg,spNO.160/d/color/3049.jpg
spNO.160,d,4076,4081,4088,4,III,fear,5,0,spNO.160/d/color/4081.jpg,spNO.160/d/color/4076.jpg,spNO.160/d/color/4088.jpg
spNO.160,e,341,345,349,4,III,surprise,2,2,spNO.160/e/color/345.jpg,spNO.160/e/color/341.jpg,spNO.160/e/color/349.jpg
spNO.160,e,459,464,469,4,III,surprise,2,2,spNO.160/e/color/464.jpg,spNO.160/e/color/459.jpg,spNO.160/e/color/469.jpg
spNO.160,e,586,592,597,2+1,II,surprise,2,2,spNO.160/e/color/592.jpg,spNO.160/e/color/586.jpg,spNO.160/e/color/597.jpg
spNO.160,e,635,643,651,2+1,II,surprise,2,2,spNO.160/e/color/643.jpg,spNO.160/e/color/635.jpg,spNO.160/e/color/651.jpg
spNO.160,e,888,894,900,4,III,surprise,2,2,spNO.160/e/color/894.jpg,spNO.160/e/color/888.jpg,spNO.160/e/color/900.jpg
spNO.160,e,1433,1439,1447,2+1,II,surprise,2,2,spNO.160/e/color/1439.jpg,spNO.160/e/color/1433.jpg,spNO.160/e/color/1447.jpg
spNO.160,e,1498,1504,1519,4,III,surprise,2,2,spNO.160/e/color/1504.jpg,spNO.160/e/color/1498.jpg,spNO.160/e/color/1519.jpg
spNO.160,e,1531,1537,1543,14,VII,surprise,2,2,spNO.160/e/color/1537.jpg,spNO.160/e/color/1531.jpg,spNO.160/e/color/1543.jpg
